aladin_rank,subject,aladin_writer,aladin_publisher,aladin_date,aladin_price,aladin_review,aladin_genre,sm_genre,present_date
  1    ,"밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 ,2023-01-01,13800,5.0,요리/살림,가정/생활,2023-02-25
  2    ,맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 ,2022-05-01,13160,5.0,요리/살림,가정/생활,2023-02-25
  3    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,12600,5.0,요리/살림,가정/생활,2023-02-25
  4    ,시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ ,2018-02-01,12000,5.0,요리/살림,가정/생활,2023-02-25
  5    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,13800,4.5,요리/살림,가정/생활,2023-02-25
  6    ,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 ,2014-09-01,9900,5.0,요리/살림,가정/생활,2023-02-25
  7    ,품격 있는 아내들의 남편 다루는 법,김민수 (지은이) , 북스고 ,2022-10-01,11900,5.0,요리/살림,가정/생활,2023-02-25
  8    ,오! 이렇게 다양한 오트밀 요리,챱챱테이블 박현주 (지은이) , 레시피팩토리 ,2020-11-01,9660,5.0,요리/살림,가정/생활,2023-02-25
  9    ,아내의 맛,김진국 (지은이) , 라이스메이커 ,2018-10-01,11430,4.0,요리/살림,가정/생활,2023-02-25
  10    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,9000,4.5,요리/살림,가정/생활,2023-02-25
  11    ,"섹스, 그리고 카마수트라","바츠야야나 (지은이), 척 윌스 (엮은이), 엄성수 (옮긴이) ", 시그마북스 ,2015-01-01,15000,2.5,요리/살림,가정/생활,2023-02-25
  12    ,라임맘의 실패 없는 아이주도이유식 & 유아식,"옥한나 (지은이), 조애경 (감수) ", 중앙books(중앙북스) ,2021-07-01,20000,5.0,요리/살림,가정/생활,2023-02-25
  13    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,5000,4.0,요리/살림,가정/생활,2023-02-25
  14    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,11900,4.5,요리/살림,가정/생활,2023-02-25
  15    ,맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 ,2022-06-01,12950,4.5,요리/살림,가정/생활,2023-02-25
  16    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,8000,4.0,요리/살림,가정/생활,2023-02-25
  17    ,365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 ,2022-12-01,21600,5.0,요리/살림,가정/생활,2023-02-25
  18    ,정리 잘하는 사람은 이렇게 합니다,"고메다 마리나 (지은이), 박연정 (옮긴이) ", 한빛라이프 ,2022-01-01,10800,5.0,요리/살림,가정/생활,2023-02-25
  19    ,딱 1년만 옷 안 사고 살아보기,임다혜 (지은이) , 잇콘 ,2020-09-01,9450,4.0,요리/살림,가정/생활,2023-02-25
  20    ,"채식은 어렵지만, 채소 습관",홍성란 (지은이) , 휴머니스트 ,2019-07-01,8190,4.5,요리/살림,가정/생활,2023-02-25
  21    ,TRUE LOVE 슬로 섹스를 위한 조언,아담 도쿠나가 (지은이) , 바닐라미디어 ,2017-02-01,7500,0.0,요리/살림,가정/생활,2023-02-25
  22    ,코바늘 다육이,"엠마 바남 (지은이), 송민경 (옮긴이) ", 미호 ,2021-04-01,10500,5.0,요리/살림,가정/생활,2023-02-25
